group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,2P_QQ_b,3,"0,4,6",label_X_bb label_X_bc label_X_bq,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.07699340743948799,0,0.230980222318464,label_X_QQ,1,0,"Two-prong X->QQ' containing a b: b-hadron decay length gives displaced vertices and high track multiplicity, the single strongest flavour handle inside a large-R jet."
1,2P_QQ_c,3,"1,5,7",label_X_cc label_X_cs label_X_cq,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.07699340743948799,0,0.230980222318464,label_X_QQ,1,0,"Two-prong X->QQ' with c but no b: intermediate decay length and impact parameter, separable from both b and light."
2,2P_QQ_light_gluon,4,"2-3,8-9",label_X_ss label_X_qq label_X_sq label_X_gg,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.105865935229296,0.028872527789808,0.25985275010827197,label_X_QQ label_X_gg,2,0,"Two-prong X->QQ'/gg with no b or c: prompt light-quark and gluon prongs, distinguished only by radiation pattern, so merged."
3,2P_ll,2,10-11,label_X_ee label_X_mm,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.04619604446369279,0.04619604446369279,0.04619604446369279,label_X_ll,1,0,"Two-prong X->ee / X->mumu: two prompt light leptons; e/mu flavour contracted, tau final states held separate at this rung."
4,2P_tautau,3,12-14,label_X_tauhtaue label_X_tauhtaum label_X_tauhtauh,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.014436263894903996,0.014436263894903996,0.014436263894903996,label_X_tauhtauh label_X_tauhtaul,2,0,"Two-prong X->tautau (any tau decay mode): tau prongs carry displaced, low-multiplicity substructure unlike prompt e/mu, so separated from 2P_ll until R=9."
5,34P_4prong_had_quarks,22,"15-18,32-34,48-49,63,115-126",label_X_YY_bbbb label_X_YY_bbcc label_X_YY_bbss label_X_YY_bbqq label_X_YY_cccc label_X_YY_ccss label_X_YY_ccqq label_X_YY_ssss label_X_YY_ssqq label_X_YY_qqqq label_X_YY_qqqb label_X_YY_qqqc label_X_YY_qqqs label_X_YY_bbcq label_X_YY_ccbs label_X_YY_ccbq label_X_YY_ccsq label_X_YY_sscq label_X_YY_qqbc label_X_YY_qqbs label_X_YY_qqcs label_X_YY_bcsq,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.18478417785477116,0.18478417785477116,0.18478417785477116,label_X_YY_QQQQ,1,1,"X->YY, four quark prongs, no gluon: four resolvable hadronic subjets. Quark flavour fully contracted; prong count, gluon content and tau-vs-prompt-lepton preserved."
6,34P_4prong_had_gluon,5,"19,35,50,64,77",label_X_YY_bbgg label_X_YY_ccgg label_X_YY_ssgg label_X_YY_qqgg label_X_YY_gggg,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.03897791251624079,0.03897791251624079,0.03897791251624079,label_X_YY_QQgg label_X_YY_gggg,2,0,"X->YY, four hadronic prongs with at least one gluon-initiated Y: gluon prongs have wider, higher-multiplicity radiation than quark prongs. Quark flavour fully contracted; prong count, gluon content and tau-vs-prompt-lepton preserved."
7,34P_4prong_lightlep,10,"20-21,36-37,51-52,65-66,78-79",label_X_YY_bbee label_X_YY_bbmm label_X_YY_ccee label_X_YY_ccmm label_X_YY_ssee label_X_YY_ssmm label_X_YY_qqee label_X_YY_qqmm label_X_YY_ggee label_X_YY_ggmm,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.11549011115923198,0.11549011115923198,0.11549011115923198,label_X_YY_QQll label_X_YY_ggll,2,0,"X->YY, two hadronic prongs plus two prompt light leptons (e/mu). Quark flavour fully contracted; prong count, gluon content and tau-vs-prompt-lepton preserved."
8,34P_4prong_tau,15,"22-24,38-40,53-55,67-69,80-82",label_X_YY_bbtauhtaue label_X_YY_bbtauhtaum label_X_YY_bbtauhtauh label_X_YY_cctauhtaue label_X_YY_cctauhtaum label_X_YY_cctauhtauh label_X_YY_sstauhtaue label_X_YY_sstauhtaum label_X_YY_sstauhtauh label_X_YY_qqtauhtaue label_X_YY_qqtauhtaum label_X_YY_qqtauhtauh label_X_YY_ggtauhtaue label_X_YY_ggtauhtaum label_X_YY_ggtauhtauh,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.05774505557961599,0.05774505557961599,0.05774505557961599,label_X_YY_QQtauhtauh label_X_YY_QQtauhtaul label_X_YY_ggtauhtauh label_X_YY_ggtauhtaul,4,0,"X->YY, two hadronic prongs plus a tau pair; tau substructure held separate from prompt e/mu until R=9. Quark flavour fully contracted; prong count, gluon content and tau-vs-prompt-lepton preserved."
9,34P_3prong_had_quarks,20,"25-28,41-44,56-59,70-73,127-130",label_X_YY_bbb label_X_YY_bbc label_X_YY_bbs label_X_YY_bbq label_X_YY_ccb label_X_YY_ccc label_X_YY_ccs label_X_YY_ccq label_X_YY_ssb label_X_YY_ssc label_X_YY_sss label_X_YY_ssq label_X_YY_qqb label_X_YY_qqc label_X_YY_qqs label_X_YY_qqq label_X_YY_bcs label_X_YY_bcq label_X_YY_bsq label_X_YY_csq,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.028872527789808,0.028872527789808,0.028872527789808,label_X_YY_QQQ,1,1,"X->YY, three quark prongs, no gluon. Quark flavour fully contracted; prong count, gluon content and tau-vs-prompt-lepton preserved."
10,34P_3prong_had_gluon,9,"29,45,60,74,83-87",label_X_YY_bbg label_X_YY_ccg label_X_YY_ssg label_X_YY_qqg label_X_YY_ggb label_X_YY_ggc label_X_YY_ggs label_X_YY_ggq label_X_YY_ggg,"(i) complete; (ii) lepton flavour and tau decay mode, partially (prompt e/mu merged, tau modes merged, prompt-vs-tau kept)",0.006640681391655839,0.006640681391655839,0.006640681391655839,label_X_YY_QQg label_X_YY_Qgg label_X_YY_ggg,3,0,"X->YY, three hadronic prongs with at least one gluon. Quark flavour fully contracted; prong count, gluon content and tau-vs-prompt-lepton preserved."
