group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,rand_res2p_02,4,"0-1,10,13",label_X_bb label_X_cc label_X_ee label_X_tauhtaum,none physical: random control,0.07731421330381918,0,0.2829507723401184,label_X_QQ label_X_ll label_X_tauhtaul,3,0,"RANDOM control group, draw 2 (seed 43), stratum res2p, size 4 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
1,rand_res2p_04,3,"2,11-12",label_X_ss label_X_mm label_X_tauhtaue,none physical: random control,0.051649744157323194,0,0.2829507723401184,label_X_QQ label_X_ll label_X_tauhtaul,3,0,"RANDOM control group, draw 2 (seed 43), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
2,rand_res2p_01,3,"3,7,14",label_X_qq label_X_cq label_X_tauhtauh,none physical: random control,0.05999069662993439,0.008661758336942398,0.2396419806554064,label_X_QQ label_X_tauhtauh,2,0,"RANDOM control group, draw 2 (seed 43), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
3,rand_res2p_00,3,"4-5,9",label_X_bc label_X_cs label_X_gg,none physical: random control,0.08020146608279999,0.028872527789808,0.25985275010827197,label_X_QQ label_X_gg,2,0,"RANDOM control group, draw 2 (seed 43), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
4,rand_res2p_03,2,"6,8",label_X_bq label_X_sq,none physical: random control,0.051328938292991996,0,0.230980222318464,label_X_QQ,1,0,"RANDOM control group, draw 2 (seed 43), stratum res2p, size 2 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
5,rand_res34p_03,15,"15,28,39,46,74,88,91,98,112,126-128,135-136,149",label_X_YY_bbbb label_X_YY_bbq label_X_YY_cctauhtaum label_X_YY_cce label_X_YY_qqg label_X_YY_gge label_X_YY_cee label_X_YY_qmm label_X_YY_stauhtauh label_X_YY_bcsq label_X_YY_bcs label_X_YY_bcq label_X_YY_sqev label_X_YY_qqev label_X_YY_bctaumv,none physical: random control,0.03668210909440879,0,0.3100332034069582,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQl label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_ggl,10,1,"RANDOM control group, draw 2 (seed 43), stratum res34p, size 15 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
6,rand_res34p_05,9,"16,22,61,73,99,106-107,129,155",label_X_YY_bbcc label_X_YY_bbtauhtaue label_X_YY_sse label_X_YY_qqq label_X_YY_gmm label_X_YY_ctauhtaum label_X_YY_stauhtaum label_X_YY_bsq label_X_YY_bctauhv,none physical: random control,0.02083371611305782,0,0.2741735238920167,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQl label_X_YY_QQtauhtaul label_X_YY_QQtauhv label_X_YY_Qtauhtaul label_X_YY_gll,7,1,"RANDOM control group, draw 2 (seed 43), stratum res34p, size 9 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
7,rand_res34p_04,20,"17,20,29,41,43,45,52,54-55,66,69,89,96,105,109-110,123,133,139,150",label_X_YY_bbss label_X_YY_bbee label_X_YY_bbg label_X_YY_ccb label_X_YY_ccs label_X_YY_ccg label_X_YY_ssmm label_X_YY_sstauhtaum label_X_YY_sstauhtauh label_X_YY_qqmm label_X_YY_qqtauhtauh label_X_YY_ggm label_X_YY_cmm label_X_YY_btauhtaum label_X_YY_gtauhtaum label_X_YY_btauhtauh label_X_YY_qqbc label_X_YY_bqev label_X_YY_bqmv label_X_YY_cstaumv,none physical: random control,0.08082820408502521,0,0.42104807275877,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtauh label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_Qtauhtaul label_X_YY_ggl label_X_YY_gtauhtaul,13,1,"RANDOM control group, draw 2 (seed 43), stratum res34p, size 20 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
8,rand_res34p_08,12,"18,21,56,63,67,102,104,121,124,140,146,153",label_X_YY_bbqq label_X_YY_bbmm label_X_YY_ssb label_X_YY_qqqq label_X_YY_qqtauhtaue label_X_YY_stauhtaue label_X_YY_gtauhtaue label_X_YY_ccsq label_X_YY_qqbs label_X_YY_cqmv label_X_YY_cqtauev label_X_YY_sqtaumv,none physical: random control,0.0550301630422895,0,0.38530388335498766,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qtauhtaul label_X_YY_gtauhtaul,8,1,"RANDOM control group, draw 2 (seed 43), stratum res34p, size 12 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
9,rand_res34p_00,22,"19,37,49,51,57-58,70,77,79-80,82-83,85,87,101,116,119,122,130,143-144,156",label_X_YY_bbgg label_X_YY_ccmm label_X_YY_ssqq label_X_YY_ssee label_X_YY_ssc label_X_YY_sss label_X_YY_qqb label_X_YY_gggg label_X_YY_ggmm label_X_YY_ggtauhtaue label_X_YY_ggtauhtauh label_X_YY_ggb label_X_YY_ggs label_X_YY_ggg label_X_YY_ctauhtaue label_X_YY_qqqc label_X_YY_ccbs label_X_YY_sscq label_X_YY_csq label_X_YY_bctauev label_X_YY_cstauev label_X_YY_cstauhv,none physical: random control,0.1043685009471064,0.010971560560127038,0.42200086617583366,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQgg label_X_YY_QQll label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qgg label_X_YY_Qtauhtaul label_X_YY_ggg label_X_YY_gggg label_X_YY_ggll label_X_YY_ggtauhtauh label_X_YY_ggtauhtaul,13,1,"RANDOM control group, draw 2 (seed 43), stratum res34p, size 22 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
