group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,2P_QQ,9,0-8,label_X_bb label_X_cc label_X_ss label_X_qq label_X_bc label_X_cs label_X_bq label_X_cq label_X_sq,"(i) quark flavour, complete",0.230980222318464,0.230980222318464,0.230980222318464,label_X_QQ,1,0,"Sophon reweighting group label_X_QQ (YAML line 28): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
1,2P_gg,1,9,label_X_gg,"(i) quark flavour, complete",0.028872527789808,0.028872527789808,0.028872527789808,label_X_gg,1,0,"Sophon reweighting group label_X_gg (YAML line 29): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
2,2P_ll,2,10-11,label_X_ee label_X_mm,"(i) quark flavour, complete",0.04619604446369279,0.04619604446369279,0.04619604446369279,label_X_ll,1,0,"Sophon reweighting group label_X_ll (YAML line 30): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
3,2P_tauhtaul,2,12-13,label_X_tauhtaue label_X_tauhtaum,"(i) quark flavour, complete",0.005774505557961599,0.005774505557961599,0.005774505557961599,label_X_tauhtaul,1,0,"Sophon reweighting group label_X_tauhtaul (YAML line 31): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
4,2P_tauhtauh,1,14,label_X_tauhtauh,"(i) quark flavour, complete",0.008661758336942398,0.008661758336942398,0.008661758336942398,label_X_tauhtauh,1,0,"Sophon reweighting group label_X_tauhtauh (YAML line 32): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
5,34P_QQQQ,22,"15-18,32-34,48-49,63,115-126",label_X_YY_bbbb label_X_YY_bbcc label_X_YY_bbss label_X_YY_bbqq label_X_YY_cccc label_X_YY_ccss label_X_YY_ccqq label_X_YY_ssss label_X_YY_ssqq label_X_YY_qqqq label_X_YY_qqqb label_X_YY_qqqc label_X_YY_qqqs label_X_YY_bbcq label_X_YY_ccbs label_X_YY_ccbq label_X_YY_ccsq label_X_YY_sscq label_X_YY_qqbc label_X_YY_qqbs label_X_YY_qqcs label_X_YY_bcsq,"(i) quark flavour, complete",0.18478417785477116,0.18478417785477116,0.18478417785477116,label_X_YY_QQQQ,1,1,"Sophon reweighting group label_X_YY_QQQQ (YAML line 34): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
6,34P_QQgg,4,"19,35,50,64",label_X_YY_bbgg label_X_YY_ccgg label_X_YY_ssgg label_X_YY_qqgg,"(i) quark flavour, complete",0.03464703334776959,0.03464703334776959,0.03464703334776959,label_X_YY_QQgg,1,0,"Sophon reweighting group label_X_YY_QQgg (YAML line 35): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
7,34P_QQll,8,"20-21,36-37,51-52,65-66",label_X_YY_bbee label_X_YY_bbmm label_X_YY_ccee label_X_YY_ccmm label_X_YY_ssee label_X_YY_ssmm label_X_YY_qqee label_X_YY_qqmm,"(i) quark flavour, complete",0.09239208892738558,0.09239208892738558,0.09239208892738558,label_X_YY_QQll,1,0,"Sophon reweighting group label_X_YY_QQll (YAML line 42): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
8,34P_QQtauhtaul,8,"22-23,38-39,53-54,67-68",label_X_YY_bbtauhtaue label_X_YY_bbtauhtaum label_X_YY_cctauhtaue label_X_YY_cctauhtaum label_X_YY_sstauhtaue label_X_YY_sstauhtaum label_X_YY_qqtauhtaue label_X_YY_qqtauhtaum,"(i) quark flavour, complete",0.023098022231846396,0.023098022231846396,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Sophon reweighting group label_X_YY_QQtauhtaul (YAML line 45): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
9,34P_QQtauhtauh,4,"24,40,55,69",label_X_YY_bbtauhtauh label_X_YY_cctauhtauh label_X_YY_sstauhtauh label_X_YY_qqtauhtauh,"(i) quark flavour, complete",0.023098022231846396,0.023098022231846396,0.023098022231846396,label_X_YY_QQtauhtauh,1,0,"Sophon reweighting group label_X_YY_QQtauhtauh (YAML line 46): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
10,34P_QQQ,20,"25-28,41-44,56-59,70-73,127-130",label_X_YY_bbb label_X_YY_bbc label_X_YY_bbs label_X_YY_bbq label_X_YY_ccb label_X_YY_ccc label_X_YY_ccs label_X_YY_ccq label_X_YY_ssb label_X_YY_ssc label_X_YY_sss label_X_YY_ssq label_X_YY_qqb label_X_YY_qqc label_X_YY_qqs label_X_YY_qqq label_X_YY_bcs label_X_YY_bcq label_X_YY_bsq label_X_YY_csq,"(i) quark flavour, complete",0.028872527789808,0.028872527789808,0.028872527789808,label_X_YY_QQQ,1,1,"Sophon reweighting group label_X_YY_QQQ (YAML line 37): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
11,34P_QQg,4,"29,45,60,74",label_X_YY_bbg label_X_YY_ccg label_X_YY_ssg label_X_YY_qqg,"(i) quark flavour, complete",0.0028872527789807994,0.0028872527789807994,0.0028872527789807994,label_X_YY_QQg,1,0,"Sophon reweighting group label_X_YY_QQg (YAML line 38): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
12,34P_QQl,8,"30-31,46-47,61-62,75-76",label_X_YY_bbe label_X_YY_bbm label_X_YY_cce label_X_YY_ccm label_X_YY_sse label_X_YY_ssm label_X_YY_qqe label_X_YY_qqm,"(i) quark flavour, complete",0.005774505557961599,0.005774505557961599,0.005774505557961599,label_X_YY_QQl,1,0,"Sophon reweighting group label_X_YY_QQl (YAML line 43): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
13,34P_gggg,1,77,label_X_YY_gggg,"(i) quark flavour, complete",0.004330879168471199,0.004330879168471199,0.004330879168471199,label_X_YY_gggg,1,0,"Sophon reweighting group label_X_YY_gggg (YAML line 36): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
14,34P_ggll,2,78-79,label_X_YY_ggee label_X_YY_ggmm,"(i) quark flavour, complete",0.023098022231846396,0.023098022231846396,0.023098022231846396,label_X_YY_ggll,1,0,"Sophon reweighting group label_X_YY_ggll (YAML line 49): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
15,34P_ggtauhtaul,2,80-81,label_X_YY_ggtauhtaue label_X_YY_ggtauhtaum,"(i) quark flavour, complete",0.005774505557961599,0.005774505557961599,0.005774505557961599,label_X_YY_ggtauhtaul,1,0,"Sophon reweighting group label_X_YY_ggtauhtaul (YAML line 52): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
16,34P_ggtauhtauh,1,82,label_X_YY_ggtauhtauh,"(i) quark flavour, complete",0.005774505557961599,0.005774505557961599,0.005774505557961599,label_X_YY_ggtauhtauh,1,0,"Sophon reweighting group label_X_YY_ggtauhtauh (YAML line 53): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
17,34P_Qgg,4,83-86,label_X_YY_ggb label_X_YY_ggc label_X_YY_ggs label_X_YY_ggq,"(i) quark flavour, complete",0.0028872527789807994,0.0028872527789807994,0.0028872527789807994,label_X_YY_Qgg,1,0,"Sophon reweighting group label_X_YY_Qgg (YAML line 39): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
