group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,rand_res2p_04,3,"0,10-11",label_X_bb label_X_ee label_X_mm,none physical: random control,0.07186051361018879,0.04619604446369279,0.2771762667821568,label_X_QQ label_X_ll,2,0,"RANDOM control group, draw 1 (seed 42), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
1,rand_res2p_01,3,"1,6,14",label_X_cc label_X_bq label_X_tauhtauh,none physical: random control,0.05999069662993439,0.008661758336942398,0.2396419806554064,label_X_QQ label_X_tauhtauh,2,0,"RANDOM control group, draw 1 (seed 42), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
2,rand_res2p_02,4,"2,4,8,13",label_X_ss label_X_bc label_X_sq label_X_tauhtaum,none physical: random control,0.07988066021846879,0,0.2367547278764256,label_X_QQ label_X_tauhtaul,2,0,"RANDOM control group, draw 1 (seed 42), stratum res2p, size 4 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
3,rand_res2p_00,3,"3,5,12",label_X_qq label_X_cs label_X_tauhtaue,none physical: random control,0.05421619107197279,0,0.2367547278764256,label_X_QQ label_X_tauhtaul,2,0,"RANDOM control group, draw 1 (seed 42), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
4,rand_res2p_03,2,"7,9",label_X_cq label_X_gg,none physical: random control,0.054536996936304,0.028872527789808,0.25985275010827197,label_X_QQ label_X_gg,2,0,"RANDOM control group, draw 1 (seed 42), stratum res2p, size 2 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
5,rand_res34p_06,20,"15,17,21,23,71,76,80,82,90,93,98,109,113,127,140,150,152-153,158,160",label_X_YY_bbbb label_X_YY_bbss label_X_YY_bbmm label_X_YY_bbtauhtaum label_X_YY_qqc label_X_YY_qqm label_X_YY_ggtauhtaue label_X_YY_ggtauhtauh label_X_YY_bee label_X_YY_qee label_X_YY_qmm label_X_YY_gtauhtaum label_X_YY_qtauhtauh label_X_YY_bcs label_X_YY_cqmv label_X_YY_cstaumv label_X_YY_cqtaumv label_X_YY_sqtaumv label_X_YY_cqtauhv label_X_YY_qqtauhv,none physical: random control,0.06221985992449396,0.005774505557961599,0.4387758048217121,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQl label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_ggtauhtauh label_X_YY_ggtauhtaul label_X_YY_gtauhtaul,13,1,"RANDOM control group, draw 1 (seed 42), stratum res34p, size 20 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
6,rand_res34p_03,15,"16,22,43,50,56,59,62,68,75,78,102,119,126,144,149",label_X_YY_bbcc label_X_YY_bbtauhtaue label_X_YY_ccs label_X_YY_ssgg label_X_YY_ssb label_X_YY_ssq label_X_YY_ssm label_X_YY_qqtauhtaum label_X_YY_qqe label_X_YY_ggee label_X_YY_stauhtaue label_X_YY_ccbs label_X_YY_bcsq label_X_YY_cstauev label_X_YY_bctaumv,none physical: random control,0.05853117576807485,0,0.30997545835137863,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQgg label_X_YY_QQl label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qtauhtaul label_X_YY_ggll,8,1,"RANDOM control group, draw 1 (seed 42), stratum res34p, size 15 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
7,rand_res34p_09,18,"18,28,31-32,37,55,58,66,69,74,81,103,106-107,112,115,128,147",label_X_YY_bbqq label_X_YY_bbq label_X_YY_bbm label_X_YY_cccc label_X_YY_ccmm label_X_YY_sstauhtauh label_X_YY_sss label_X_YY_qqmm label_X_YY_qqtauhtauh label_X_YY_qqg label_X_YY_ggtauhtaum label_X_YY_qtauhtaue label_X_YY_ctauhtaum label_X_YY_stauhtaum label_X_YY_stauhtauh label_X_YY_qqqb label_X_YY_bcq label_X_YY_sqtauev,none physical: random control,0.06996469677283881,0,0.3546701313700014,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQl label_X_YY_QQll label_X_YY_QQtauhtauh label_X_YY_QQtaulv label_X_YY_Qtauhtauh label_X_YY_Qtauhtaul label_X_YY_ggtauhtaul,10,0,"RANDOM control group, draw 1 (seed 42), stratum res34p, size 18 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
8,rand_res34p_04,20,"19-20,24,29,34-35,40,44,46,52,60,79,110,122,131,135,137,154-155,159",label_X_YY_bbgg label_X_YY_bbee label_X_YY_bbtauhtauh label_X_YY_bbg label_X_YY_ccqq label_X_YY_ccgg label_X_YY_cctauhtauh label_X_YY_ccq label_X_YY_cce label_X_YY_ssmm label_X_YY_ssg label_X_YY_ggmm label_X_YY_btauhtauh label_X_YY_sscq label_X_YY_bcev label_X_YY_sqev label_X_YY_bcmv label_X_YY_qqtaumv label_X_YY_bctauhv label_X_YY_sqtauhv,none physical: random control,0.1061686593085467,0,0.4806698426447235,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQgg label_X_YY_QQl label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtauh label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qtauhtauh label_X_YY_ggll,12,0,"RANDOM control group, draw 1 (seed 42), stratum res34p, size 20 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
9,rand_res34p_08,12,"25,61,77,92,97,99,101,120,132-133,141,146",label_X_YY_bbb label_X_YY_sse label_X_YY_gggg label_X_YY_see label_X_YY_smm label_X_YY_gmm label_X_YY_ctauhtaue label_X_YY_ccbq label_X_YY_csev label_X_YY_bqev label_X_YY_sqmv label_X_YY_cqtauev,none physical: random control,0.02989487775109256,0.004330879168471199,0.2883210625090226,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQl label_X_YY_QQlv label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_Qtauhtaul label_X_YY_gggg label_X_YY_gll,9,0,"RANDOM control group, draw 1 (seed 42), stratum res34p, size 12 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
